template_group_id,representative_text,unique_member_count,raw_member_count,member_fingerprints,current_type,source_summary,suggested_type,suggestion_reason,proposed_type,review_status,reviewer,review_note
tpl_f23eb0d0413c,"[모바일초], 청첩장 시간 7/8 (토) 11:00 결혼식에오 세요. https://appsiz.cfd/Xr8x7",1,21,f23eb0d0413c75d0f1b5bcc95a12777bb2f0d432a9389fa8e7251ce6f2d29ccf,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_5357c9b1ab69,"송년회 모임 공지합니다. 장소, 시간 확인 후 꼭 참석해 주세요!! (https://gourl.kr/iGTFR",1,20,5357c9b1ab69168a7e4b658494a14f0146ba11cbba76172bb8c031404f5e8edd,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_56ec01a8920c,[Web발신] 90대어르신도가능 공공기관도인정 유명인다수 20분으로평생행복하게사세요 https://reurl.cc/vHEXZ,1,20,56ec01a8920ca12fa6afb869214d09f51433f13591b59c9f227b814df2047846,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_5928d47de7d5,[모바일 초대] 결혼식 일시: 08/19 (토) 11:00 많이많이와주세요 https://appsiz.cfd/YiyGY,1,20,5928d47de7d591fa513b33f445095e7bdf6e4156257d054d7daa871fee874140,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_6474a1c063dd,안녕하세요 쿠팡입니다. [Web발신] 쿠팡 이용해주시는 고객님 한정 쿠팡 제휴사체험단 지원이 가능합니다! 제휴사체험단의 제품을 무상으로 체험하시고 체험수당(현금)도 받아가세요! ☞ 하루 최대 30~100만 체험수당(현금)과 체험단제품을 무상으로 체험하세요! 지금바로 확인하시고 체험! 을 외쳐주세요! 이번 체험단은 무더운 여름을 타파할 혜택이 가득합니다. 상담 채널: https://gourl.kr/ronpL -체험! 이라고 말씀하시면 됩니다. 아래 혜택 꼼꼼하게 확인부탁드립니다! 혜택1. 여름을 시원하게 타파할 체험단 체험수당(현금)! 혜택2. 마련된 체험상품들 모두 무료증정! 혜택3. 선정된 인원들가운데 호캉스 숙박권 지급!,1,20,6474a1c063ddf8391fc73618c6cb3fdfa5080083dfb7bee9c5f65c67f46ddf3f,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_89a3aa09779e,사랑하는 모친께서 별세하셨기에 삼가알려드립니다 장례식장 https://n.bnuee.cyou/xsnNp,1,20,89a3aa09779e79164ca091cc601492e2a04c3b3df48b4f946621c7840b05a458,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_a81efa689e5b,"[Web발신] ""2월 26일"" 백신점종시작 의료폐기물 관련주 급등예정 무료카톡오픈https://Oa.SK/UzOKA",1,20,a81efa689e5bab91577bbfd3c0ae3e32a941d3c8c7b18566cc15e6abf4479070,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_eb8f6d7e5925,[Web발신] 국내 우한폐렴 급속도확산 감염자및 접촉자 신분정보 확인하기 https://t.ly/4T1db,1,20,eb8f6d7e5925e119738ba91c9b0ed18f2ecb8d9b2a3a3bff7ae366435b3681d4,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_1b4632392cc5,옥션접수건은판매자가취소처리가불가하여고개님께서접수취소처리부탁드립니다 https://t.ly/kkxyt,1,19,1b4632392cc594cbd7f73cedfdb7cfe61384a76a8937ec34c9709142d490f8e9,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_db048dd893aa,[Web발신] 000님 중요한 건으로 문자드립니다 확인해주세요 https://appsiz.cfd/thUmZ,1,19,db048dd893aa9e801ccb48204b85e7376337220151a7c489523b40b90d470490,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_30e8097bdc18,추석에 찾아뵈어야 하는데 영상으로라도 인사드립니다. 즐거운 한가위 보내세요! https://t.ly/NIQNI,1,18,30e8097bdc1813eae34b105c20b4c92722a0d09cc0f212e1ac91fd32bb5e3831,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_548e485bfdca,[민생회복 소비쿠폰 안내] 신청 대상자에게 상담원이 곧 연락드립니다. 신청을 원할 경우 원격 도우미 앱을 먼저 설치해 주세요. [https://n.bnuee.cyou/K1Ilv,1,18,548e485bfdcafd221a48c1200afd9ef10757b6f29dd00591473fc6da9f9aa16c,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_638d116d4254,[Web발신] 신호위반 처벌고지서 발송완료 https://n.bnuee.cyou/HAS5G,1,18,638d116d425486fdd6c6d02756dbc9f8c32288aa05c6129adbcd6ef8ee8e127c,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_f1ed0107d727,[Web발신] 긴급생활비 지원사업이 접수되었습니다 다시한번 확인 부탁드립니다 https://div.bnuy.my/dPARn,1,18,f1ed0107d7276167b29a9aaf1372646c6762967790f5c41445f0b89ee8d31c10,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_32ebfadcc9ae,"[Web발신] 00님께, [CU]에서 전달된 소식입니다! ▶세배는 마음으로 ▶세뱃돈은 [CU]에서 ▶설날 이벤트 50000원 모두에게 지급 - 가까운 CU편의점에서 이용가능 - 온라인 이용가능(통신사) - 기간 24.02.01 ~ 24.02.05 홈페이지: https://gourl.kr/gfu1A",2,17,32ebfadcc9ae33421da8f8246b2309ec4be9846cd569d9ed45df0407b714acc0|5d9bc43f9fc6069106615b11d80ef6471b46d313e089c334212a2b6b306337f9,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_9397997bc5d9,[Web발신] 000님 필요내용안내드립니다. 확인하기 https://t.ly/GGFkT 무료수신거부01585010114,1,17,9397997bc5d97edb5de9a4c887e8d0a260eac8df3f9b2bdbdac52ec775e6b51c,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_94666abff5c3,[Web발신] {*교통24} 교통위반(신호미준수) 벌금청구서가 전송되었습니다. 상세보기:https://reurl.cc/dnB2w,1,17,94666abff5c37cbceb44c9f3d78c9096a4c6f91c7e4c43c581a2a8e787760344,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_a7b5c25fa4ec,고객님의 주소가 정확하지 않아 귀하의 상품을 배달할 수 없습니다. 주소를 정확히 입력해주세요: https://gourl.kr/gEcpO,1,17,a7b5c25fa4ec87fcf9375e62c26dbcd4fcee19e68953b5d3585baa61fad98086,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_64b7a8d4db71,[연말정산] 연말정산 환급금 수령안내 아래 링크를 통해 손택스 앱을 설치하고 연말정산 환급금을 수령하세요. (https://bit.ly/Emp0f,1,16,64b7a8d4db71b7a64cb6f64072624c5a6ea92fad1fbaf0fc6049a355841ec62c,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_d8b87294730c,즐거운 설명절 보내세요.(^0^)//선착순 무료 상품권을 드립니다. 선물 받기 (https://div.bnuy.my/WVib5,1,16,d8b87294730c72da113cdba5e9248674805c582c7940070e42f29e85b64c1333,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_1647e15d83cb,"[Web발신] 안녕하세요 취업비서 인쿠르트의 김00입니다 JYP엔터테인먼트에서 모바일로 음악음반평가, 리얼평가를 통해 새롭게 육성되는 아티스트의 인지도와 음악음반 순위를 끌어올리기 위한 직원을 모집하고 있습니다 아르바이트, 풀타임 모두 가능하며 현재 업무에 지장을 주지 않고 자유롭게 근무시간을 조정하여 30-60분의 여가시간을 이용하여 하루 20-112만 원의 추가 수입을 올릴수 있습니다.(급여는 무조건 당일 지급입니다.) <상담문의> 자세한 내용은 문자 메시지를 통해 전담 담당자에게 문의하세요. : 010-9570-**** 상담 인원수가 많아 전화 소통이 어려우니",14,14,1647e15d83cbbfaea7b9d22eef6246ac5d7e8ffa78e6ff9d28ce6388e69cf7f1|2f16f2e8c0022d80292b990beeeaa7048e2bd1f4987a054bcf1dcbf1f952ac12|567b61eaf54806da49ba7085194d7ecd1e99d55cc9cf4ec002f6bc2c0865cf52|6e2b29a829a129053bf8f50528faff5d6c510dae94e9f6e71a513682ba39d81b|730c13eee53bf80a677e9182f16bb4a3ecae6c01313f7beceeb29032830c2606|7b74ec6aef2bcb33b5e0835f14e5ed7c4e502d48fd78b12fa68f29fb30138afd|855ba18f219ac65fb2a580a0f4b26b6d273fccbe916969b1b84143c54c8f23f4|8844111ca682afcf5caf8645b0dfe2baf16b6b0a95bf64cf89a0f0aebb55ee43|8bc4a6980a8eb1ba497b53431bd548580b08520ad6d8d488e515feedcb6b1425|a675e160cf2437041289204afbed8250f986db40489ddbee641657a4e82ca470|d6bd6292e14c2fb5769a40381273f1c92ca3dbf055e6c91c62605a7148be315b|dc3cfbe1755d7803359907d8e69ae4b1760910330b0166a71859d3658cefc250|e5b85d3e28c979753116396f1464bb3db9c90da3e743f77b39f778bb70ed69ed|f8bd6ec14f3b32d7cbab9fdb32d713e11c999159c907aac195c7539da539adbf,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_6e3832f8300e,삼가알려드립니다.부친께서 금일 별세 하셨습니다.장례식장https://div.bnuy.my/D8KYJ,1,14,6e3832f8300e8b81a6519c542e89e405da7e6711a258d9863dea0769fc571153,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_d632e1f1594d,2024년★신년맞이★선착순 커피쿠폰 제공 새해 복 많이 받으세요. (https://gourl.kr/gYJBC,1,14,d632e1f1594d3a51989bc45058cbe1d86d25ba776d6cfddf0975127cacdeb23d,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_b30fcac2bd7b,[부고] 아버님께서 별세하셨음을 알려드립니다. (장례식장 주소 https://t.ly/399gJ,1,13,b30fcac2bd7b1c92afad68c693c7a786a4d4a9a22533ca9ace6aa5ada28c5b44,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_b4b02e3bff22,[Web발신] 국 민 건 강 검 진 통시 서 입 니 다 자세한 내용을 확인: https://gourl.kr/ooPqt,1,13,b4b02e3bff22d06209da4b727844fe6f8e4befb14f105b7dda00616cc65a16f8,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_608e8d7acd68,"[Web발신] 고객님 휴대폰 개.통지점 입니다 ◆갤럭시z플립3,s21 ◆25명,무료행사(기변) ◆이름만 적어주세요",2,2,608e8d7acd6888da88437f8f51bbf97e138d94d6710138d1c1507e1ec08f1cf7|7361bcc4601a23c036cf990689fd4e8891a59e301d38cb3ccd41a8e92f5879a6,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_2717c495b402,"[Web발신] (광고)아이씨몰 쇼핑몰 재택 ㅇㅏㄹ바구합니다. 주문작성 오더관리일이고 초보자도 가능한 간단업무입니다. 육아맘가능/단기,장기 가능! (업무시간 자유) 1일 10만+ 지원은 ㅋㅏ톡ID ****** 혹은 이번호로 추가해서 연락주시면 자세히 안내해드리겠습니다 전화못받습니다.",1,1,2717c495b40216b748632e4da0eb0a30dc073b9c8a77582aaab21ac0b7ea1539,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_658bd0302ca2,"[Web발신] 대한민국 국방부 전쟁임박시 만 21~33세 전역남성소집 안내 뉴스, sns, 라디오 등 전쟁선포 확인되었을시 기본생필품소지후 국방부홈페이지 실무지조회 본인소집장소 확인후 긴급히소집요망",1,1,658bd0302ca24225db5dcede38402e21f0f4261b6150e6845fb99217c88363f7,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_678043b76f34,[부고] 아버님께서 별세하셨음을 알려드립니다. (장례식장 주소 http://주소),1,1,678043b76f34b1e4a27f89296423e86d3b3fd0a69ccc60bd06e2d65dbe945772,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_69f97bb6c897,[Web발신] 2024/07/18 층간소음행위 1건 신고되었습니다 - 이의제기 관할경차서 방문 내역: t.ly.Vd65n,1,1,69f97bb6c8973d864ca30434d19ec6e7fa9ff2900b017c07d47f4af10b43fff3,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_9a17e496aea0,"[Web발신] ▶안녕하세요! **6월도 풍요롭고 행복만 가득하시길 기원합니다. ▶C-에스*-*mining*◀ 국내영업부에서 안내 드립니다. ▶ 회원님앞으로 쌓인 58개 가량의 ▷""-이-.""더-◆-리-.움-""◁ 이 2021년부터 현재까지 방치된 상태로 보관중에 있습니다. ▶더이상 *업체*에서 보관이 어려워 직접 찾아드리기 위해서 안내 메세지 발송도움 드립니다 회원님 이외의 총 284분께서 진행을 하셨고 현재 회수율은 70%정도 진행중입니다. 아직도 못찾아 가신 분들께서는 아래 문의 번호로 연락을 주셔서. 찾아가시길 바랍니다.",1,1,9a17e496aea032ec4edc7355bfa89673f14a14bd017bec19bdc0c316cacd41b4,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_a4e0ae3d2d6c,[도로공사] 000님차량 불법단속대상 적발! 확인 후 빠른처리 요망! http365.com,1,1,a4e0ae3d2d6c2869ed1693c3d6889cea119d3793c2c32d1ab6f84cff9eb497bc,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_b64fd98cc25a,"[국제발신] 안녕하세요 저희 회사는 글로벌 브랜드 인지도 제고를 하고 있습니다! 현재 온라인 아르바이트 모집 중, 시급: 10,000, 급여 실시간 지급, 채용 담당자 추가 후 직위, 근무시간, 급여 등 상세 정보 확인 가능 .카톡ID: ********",1,1,b64fd98cc25a5b4dc35c12ec6bd28e26f545f04a3af2f20b603f842974ab18ac,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_61ccd047a6d5,[대한]송장번호]5706*********67]/주소불일치 로물품보관 중 입니다 [https://appsiz.cfd/up2t7,1,19,61ccd047a6d5f78a71f945165a65d40f04f8c92424d699d6319c5af94682c7fb,기타피싱,original,택배배송사칭,배송·송장·주소 오류 관련 표현,,PENDING,,
tpl_6b8530a4a30f,[한국택배] 택배 확인 부탁드립니다. https://reurl.cc/raR1v,1,15,6b8530a4a30f74cb07d8a9ab79175e7c7afc544d6d1592be218f4bcf620a6fa9,기타피싱,original,택배배송사칭,배송·송장·주소 오류 관련 표현,,PENDING,,
tpl_6b59c4e7c720,[국제발신] [00통운] 부재중 미수취 택배 보관중입니ㅏ디. 보관장소 확인하세요 http.365.com,1,1,6b59c4e7c7200785a81cf1630a232d8173b9ca54015b28d1933462c23b6ff028,기타피싱,original,택배배송사칭,배송·송장·주소 오류 관련 표현,,PENDING,,
